,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Barinas,VE,8.64,-70.23,94.36,42,0,6.53
1,Vila Franca do Campo,PT,37.72,-25.43,57.09,62,75,10.29
2,Dunedin,NZ,-45.87,170.5,64,73,0,11.01
3,Hermanus,ZA,-34.42,19.24,64,82,0,1.01
4,Bambous Virieux,MU,-20.34,57.76,80.24,83,40,6.93
5,Bangassou,CF,4.74,22.82,77.08,64,20,2.95
6,Jorochito,BO,-18.06,-63.43,85.03,66,75,12.75
7,Asyut,EG,27.18,31.19,55.4,50,0,11.41
8,Chokurdakh,RU,70.62,147.9,-13.33,62,36,6.2
9,Port Alfred,ZA,-33.59,26.89,67.62,90,0,13.47
10,Berdigestyakh,RU,62.1,126.7,-7.3,59,24,4.74
11,Kahului,US,20.89,-156.47,74.14,41,20,14.99
12,Atar,MR,20.52,-13.05,65.38,16,0,7.09
13,Rikitea,PF,-23.12,-134.97,79.42,100,56,12.57
14,Villa Carlos Paz,AR,-31.42,-64.5,85.77,66,40,9.17
15,Mar del Plata,AR,-46.43,-67.52,63.94,41,32,23.09
16,Carnarvon,AU,-24.87,113.63,77,73,40,11.41
17,Broome,AU,-17.97,122.23,84.2,83,75,6.93
18,Bredasdorp,ZA,-34.53,20.04,62.6,82,0,3.36
19,Albany,AU,-35.02,117.88,55.4,100,0,3.96
20,Khlevnoye,RU,54.57,39.32,24.8,93,76,3
21,Ust-Tsilma,RU,65.44,52.15,-14.23,63,0,1.61
22,Esperance,AU,-33.86,121.89,59,82,0,13.87
23,Huarmey,PE,-10.07,-78.15,78.7,56,36,4.74
24,Barra do Corda,BR,-5.5,-45.25,74.43,97,88,5.97
25,Yellowknife,CA,62.45,-114.38,12.2,36,20,6.93
26,Ayagoz,KZ,47.96,80.43,23.8,92,48,3.96
27,Saint George,BM,32.38,-64.68,68.9,88,75,3.36
28,North Myrtle Beach,US,33.83,-78.68,66.27,93,90,5.82
29,Ostrovnoy,RU,68.05,39.51,0.63,60,0,9.78
30,Horodyshche,UA,50.76,29.29,37.4,55,76,11.18
31,Busselton,AU,-33.64,115.35,61.48,44,0,19.95
32,Ushuaia,AR,-54.81,-68.31,53.87,62,40,2.24
33,Rabo de Peixe,PT,37.8,-25.58,57.04,62,75,10.29
34,Punta Arenas,CL,-53.16,-70.91,51.37,53,20,21.92
35,Gamba,GA,-2.72,10.02,82.12,96,44,5.75
36,Mahebourg,MU,-20.41,57.7,80.24,83,40,6.93
37,Puerto Leguizamo,CO,-0.19,-74.78,87.79,69,12,2.95
38,Matara,LK,5.95,80.54,74.83,100,24,3.96
39,Anadyr,RU,64.73,177.51,30.11,92,90,44.74
40,Iquique,CL,-20.22,-70.14,71.6,68,40,18.34
41,Chegutu,ZW,-18.13,30.15,75.01,44,0,12.12
42,Kangaatsiaq,GL,68.31,-53.46,9.85,100,20,1.83
43,Arkhangelskoye,RU,54.46,37.62,28.66,90,88,12.35
44,Cape Town,ZA,-33.93,18.42,65.59,88,0,2.24
45,Chernyshevskiy,RU,63.01,112.47,6.84,76,56,4.41
46,Narsaq,GL,60.91,-46.05,28.4,50,44,6.93
47,Hithadhoo,MV,-0.6,73.08,83.34,100,92,11.34
48,Hobart,AU,-42.88,147.33,60.24,62,0,5.82
49,Saskylakh,RU,71.97,114.09,-25.57,38,36,3.51
50,Kalmunai,LK,7.42,81.82,75.55,97,64,3.29
51,Khatanga,RU,71.98,102.47,-0.1,75,44,18.39
52,Maningrida,AU,-12.05,134.23,77.89,98,88,13.8
53,Port Lincoln,AU,-34.72,135.86,62.95,100,0,8.43
54,Kapaa,US,22.08,-159.32,72.82,60,90,18.34
55,Avarua,CK,-21.21,-159.78,84.2,66,0,6.93
56,Quatre Cocos,MU,-20.21,57.76,80.28,83,40,6.93
57,Krasnoarmeyskiy,RU,46.12,40.39,34,92,0,8.99
58,Vestmanna,FO,62.16,-7.17,42.8,81,92,6.93
59,Sidrolandia,BR,-20.93,-54.96,82.4,65,20,6.93
60,Bethel,US,60.79,-161.76,29.68,86,1,6.93
61,Provideniya,RU,64.42,-173.23,30.2,92,90,29.08
62,Lompoc,US,34.64,-120.46,58.93,82,90,5.82
63,Emborion,GR,40.48,21.55,29.2,87,0,2.39
64,Sergeyevka,RU,43.34,133.36,12.01,71,0,2.28
65,Saint-Philippe,RE,-21.36,55.77,75.67,74,0,6.93
66,Vaini,TO,-21.2,-175.2,75.2,100,90,10.29
67,Coihaique,CL,-45.58,-72.07,51.62,50,40,4.7
68,Stabat,ID,3.76,98.46,77,94,48,5.01
69,Butaritari,KI,3.07,172.79,77.71,100,92,10.89
70,Halifax,CA,44.65,-63.58,27.19,68,20,5.82
71,Walvis Bay,NA,-22.95,14.51,65.32,82,0,8.05
72,Conde,BR,-11.81,-37.61,83.47,78,44,11.68
73,Castro,CL,-42.48,-73.76,53.6,87,90,4.7
74,Namatanai,PG,-3.66,152.44,80.5,100,8,7.31
75,Tuktoyaktuk,CA,69.44,-133.03,15.8,85,90,18.34
76,Nantucket,US,41.28,-70.1,35.74,64,75,5.82
77,Souillac,MU,-20.52,57.52,80.24,83,40,6.93
78,Klaksvik,FO,62.23,-6.59,42.8,81,92,6.93
79,Havelock,US,34.88,-76.9,64.54,77,20,6.93
80,Palmer,US,61.6,-149.11,30.24,63,90,2.62
81,Talnakh,RU,69.49,88.39,-10.58,52,8,3.4
82,La Ronge,CA,55.1,-105.3,8.6,60,90,16.11
83,Byron Bay,AU,-28.65,153.62,72.25,83,40,10.11
84,Muncar,ID,-8.43,114.34,80.59,94,56,3.96
85,North Bend,US,43.41,-124.22,49.82,53,1,14.99
86,Nanortalik,GL,60.14,-45.24,27.18,100,88,10.89
87,East London,ZA,-33.02,27.91,74.92,100,8,20.29
88,Musselburgh,GB,55.94,-3.05,37.69,93,90,8.05
89,Cherskiy,RU,68.75,161.3,-17.47,50,20,5.97
90,Hasaki,JP,35.73,140.83,50.43,93,75,18.34
91,Tecoanapa,MX,16.99,-99.26,82.4,74,5,13.87
92,Can,TR,40.03,27.05,39.2,60,0,12.75
93,Chuy,UY,-33.69,-53.46,73.08,68,0,10
94,Russell,NZ,-35.26,174.12,70.93,52,32,4.07
95,Kodiak,US,39.95,-94.76,7.7,50,1,14.99
96,Lorengau,PG,-2.02,147.27,82.84,99,0,4.97
97,Hambantota,LK,6.12,81.12,75.2,100,5,2.24
98,Zhigansk,RU,66.77,123.37,-2.8,73,68,6.64
99,Svetlogorsk,RU,53.14,59.15,15.8,72,75,15.66
100,Dikson,RU,73.51,80.55,-6.13,100,56,26.44
101,San Juan,US,26.19,-98.16,62.56,88,90,12.75
102,Lapua,FI,62.97,23.01,10.69,78,0,2.24
103,Egvekinot,RU,66.32,-179.17,23.89,88,88,10.67
104,Cap Malheureux,MU,-19.98,57.61,80.29,83,40,6.93
